workerid,nonliteral,happy1,sad1,amuse1,content1,disapp1,anger1,regret1,happy2,sad2,amuse2,content2,disapp2,anger2,regret2,response1ReactionTime,response2ReactionTime,freeResponseReactionTime,consent,ventingResponseLength,ventingResponse,gender,age,nativeLanguage
38,0,1,7,1,1,6,9,5,1,8,3,1,7,9,4,11401,30193,257034,1,405,My ex-best friend is the one who made me angry. I was invited to her wedding; but had a weird feeling she didn't want me there. I told her that my husband couldn't come to the wedding (we had moved 800 miles away) and asked if I could bring my mom (whom she knew very well). She ignored me for two weeks; then sent a text message saying no. I was so stunned and knew she just didn't want me there at all. ,F,26,english
39,1,1,4,3,1,6,8,6,1,1,1,1,6,8,2,13066,11864,78456,1,349,My stupid co worker claimed that the project we worked on was his whole idea. I can't believe he would do that and take all the credit. He is probably trying to make up for his shortcomings. I wish he wouldn't have made it look like I did nothing. We worked on it together and him saying he did it himself makes me so angry. I hope he loses his job.,M,35,English
40,0,1,6,1,1,7,7,5,5,1,1,1,1,1,1,24953,12693,54830,1,278,My sister started criticizing my relationship. She said she felt bad for my boyfriend for having to be with me. She was yelling and screaming. She called me a bitch. I felt terrible and ran off crying because what she said hurt me. We didn't talk for about two days afterwards. ,F,25,English
41,0,1,8,1,2,8,9,1,4,3,2,2,8,6,5,15520,6097,53294,1,628,I was harmed by a brother of mine. He was addicted to gambling; but I didn't know it at the time; he hid it from the family. He asked me a for a sizable \loan\; saying that it was to help him play his student loans while he was in school and looking for a job. Being the brother that I am; I obliged. This was a big loan; so I had to delay my engagement to my girlfriend by a few months; but he was my brother and was in need; I couldn't just turn him away. Once I found out what the money I loaned him was really for; I became furious. The trust between him and I was broken. I can never take his word at face value ever again.,M,31,English
42,0,3,7,2,3,8,8,8,3,7,2,4,8,8,8,20536,18487,132093,1,347,When I was in high school there was a school event that we were all looking forward to participating in. About a week prior to the even I was caught drinking beer by my dad.  He and my mom grounded me for two weeks.  This included the school event time period so I could not go. I was livid and thought at the time the punishment was very unfair  ,M,59,english
43,0,3,7,1,1,8,7,4,2,7,1,2,8,7,5,22442,20224,125863,1,286,I had started to make plans to visit some family.  Because the trip is long and not pleasant I was hoping that I would be accepted but instead personal agendas were more important and I ended up not going and upset some of my other family members.  I am feeling reluctant to reschedule.,M,34,english
44,0,1,3,2,2,8,9,5,1,4,3,1,7,9,1,21920,15384,106447,0,267,Basically; it all comes down to some passive aggressive garbage a former boss wrote in; an employee review.  Every good score was laced with a venomous comment; just to bring me down a peg or two.  It was totally unneccessary and truly pissed me off for a long while.,M,30,English
45,1,1,1,1,1,6,8,2,1,1,3,1,6,9,1,45638,11584,278826,1,573,This highly-intelligent; highly-qualified; impersonally competent; highly-regarded with incredible business acumen; gave me constant constructive feedback about my work; you know; for the client. For an entire year. I mean she was clearly adding value to my product and thus the company; and every other person from peer reviewers to other people in her position rarely ever had critical reviews of my work. Clearly they were all just terrible at their jobs. Clearly. I can't believe the place is still in business. They are lucky to be in the presence of such godliness.  ,M,33,english
46,1,4,6,5,4,6,8,5,5,4,5,5,7,8,3,21509,10882,130588,1,280,Oh yeah; I'll move those packages. Is that good? Have I satisfied your need for control over another human being? I'm sorry that you were never taught how to deal with other people and that you're so insecure. With your slicked back haircut. And your inability to comprehend time.,M,32,English
47,1,8,8,1,1,8,9,8,1,6,1,1,8,9,9,38500,23475,90938,1,260,I asked my sister to not unbuckle my daughter for any reason in her van and she gave her permission to do it.  I was so upset that I did not talk to her the rest of the trip.  She did not think anything was wrong.  Can you believe that?  How stupid can you be?,F,51,English
